cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,Early Learning and Care Advanced Certificate - Stage 2,,6,,"Education, Health",https://www.qualifax.ie/course/223129,1,0,,,2025-01-25T15:00:00,0," health, advanced, care, certificate, early, education, learning, stage"
,Interview & CV Preparation - Career Planning - Thurles,,8,,Health,https://www.qualifax.ie/course/223577,1,0,,,2025-01-25T15:00:00,0,"career, health, interview, planning, preparation, thurles"
,Special Needs Assistant - Community Health Services,,8,,Health,https://www.qualifax.ie/course/6030,1,0,,,2025-01-25T15:00:00,0,"assistant, community, health, needs, services, special"
,Inside Social Care Open Day,,8,,Health,https://www.qualifax.ie/events/inside-social-care-open-day,1,0,,,2025-01-25T15:00:00,0,"care, day, health, inside, open, social"
,3rd Annual Health Care Assistants Study Day,,8,,Health,https://www.qualifax.ie/course/221902,1,0,,,2025-01-25T15:00:00,1,"3rd, annual, assistants, care, day, health, study"
,Activities of Living Patient Care,,8,,Health,https://www.qualifax.ie/course/102440,1,0,,,2025-01-25T15:00:00,8,"activities, care, health, living, patient"
,Activities of Living Patient Care - Healthcare,,8,,Health,https://www.qualifax.ie/course/223178,1,0,,,2025-01-25T15:00:00,8,"activities, care, health, healthcare, living, patient"
,Activities of Living Patient Care - Online,,8,,Health,https://www.qualifax.ie/course/87896,1,0,,,2025-01-25T15:00:00,8,"activities, care, health, living, online, patient"
,Addiction Counselling & Psychotherapy,,8,,Health,https://www.qualifax.ie/course/99371,1,0,,,2025-01-25T15:00:00,8,"addiction, counselling, health, psychotherapy"
,Adolescent Health,,8,,Health,https://www.qualifax.ie/course/110109,1,0,,,2025-01-25T15:00:00,9,"adolescent, health"
,Advanced Care Planning,,8,,Health,https://www.qualifax.ie/course/223544,1,0,,,2025-01-25T15:00:00,11,"advanced, care, health, planning"
,Advanced Communication Skills Training for Health & Social Care Professionals in Cancer & Palliative Care - The Susie Wilkinson Model,,8,,Health,https://www.qualifax.ie/course/219450,1,0,,,2025-01-25T15:00:00,11,"advanced, cancer, care, communication, health, model, palliative, professionals, skills, social, susie, training, wilkinson"
,Advanced Comprehensive Health Assessment- Waterford,,8,,Health,https://www.qualifax.ie/course/224449,1,0,,,2025-01-25T15:00:00,11,"advanced, assessment, comprehensive, health, waterford"
,Advanced Health Assessment,,8,,Health,https://www.qualifax.ie/course/224516,1,0,,,2025-01-25T15:00:00,11,"advanced, assessment, health"
,Advanced Psychosocial Issues in Palliative Care - Whats The Story,,8,,Health,https://www.qualifax.ie/course/219439,1,0,,,2025-01-25T15:00:00,12,"advanced, care, health, issues, palliative, psychosocial, story, whats"
,Advanced Radiation Therapy Practice - Clinical Practice,,8,,Health,https://www.qualifax.ie/course/101900,1,0,,,2025-01-25T15:00:00,12,"advanced, clinical, health, practice, radiation, therapy"
,Advanced Radiation Therapy Practice - Treatment Planning,,8,,Health,https://www.qualifax.ie/course/108114,1,0,,,2025-01-25T15:00:00,12,"advanced, health, planning, practice, radiation, therapy, treatment"
,Advanced Therapy Medicinal Products ATMP Cell Manufacturing - Sligo,,8,,Health,https://www.qualifax.ie/course/221857,1,0,,,2025-01-25T15:00:00,12,"advanced, atmp, cell, health, manufacturing, medicinal, products, sligo, therapy"
,Advanced Therapy Medicinal Products ATMP Vector Manufacturing - Sligo,,8,,Health,https://www.qualifax.ie/course/221861,1,0,,,2025-01-25T15:00:00,12,"advanced, atmp, health, manufacturing, medicinal, products, sligo, therapy, vector"
,Ageing Health & Wellbeing in Intellectual Disability,,8,,Health,https://www.qualifax.ie/course/104725,1,0,,,2025-01-25T15:00:00,13,"ageing, disability, health, intellectual, wellbeing"
,All Ireland Inst of Hospice & Palliative Care,,8,,Health,https://www.qualifax.ie/providers/all-ireland-inst-of-hospice-palliative-care,1,0,,,2025-01-25T15:00:00,16,"all, care, health, hospice, inst, ireland, palliative"
,Allied Health - Structured Research,,8,,Health,https://www.qualifax.ie/course/112579,1,0,,,2025-01-25T15:00:00,16,"allied, health, research, structured"
,Alternative Health & Well-Being Therapies,,8,,Health,https://www.qualifax.ie/course/1679,1,0,,,2025-01-25T15:00:00,16,"alternative, being, health, therapies, well"
,Anatomy & Physiology - Healthcare,,8,,Health,https://www.qualifax.ie/course/223155,1,0,,,2025-01-25T15:00:00,17,"anatomy, health, healthcare, physiology"
,Animal Care,,8,,Health,https://www.qualifax.ie/course/40592,1,0,,,2025-01-25T15:00:00,18,"animal, care, health"
,Animal Care - Small Animal Husbandry & Housing,,8,,Health,https://www.qualifax.ie/course/223614,1,0,,,2025-01-25T15:00:00,18,"animal, care, health, housing, husbandry, small"
,Animal Care - Animal Care Assistant,,8,,Health,https://www.qualifax.ie/course/32284,1,0,,,2025-01-25T15:00:00,18,"animal, assistant, care, health"
,Animal Care - Canine Husbandry,,8,,Health,https://www.qualifax.ie/course/21593,1,0,,,2025-01-25T15:00:00,18,"animal, canine, care, health, husbandry"
,Animal Care - Companion & Captive Animal,,8,,Health,https://www.qualifax.ie/course/69460,1,0,,,2025-01-25T15:00:00,18,"animal, captive, care, companion, health"
,Animal Care - Introduction to Dog Grooming,,8,,Health,https://www.qualifax.ie/course/1408,1,0,,,2025-01-25T15:00:00,18,"animal, care, dog, grooming, health, introduction"
,Animal Care - Veterinary Assistant,,8,,Health,https://www.qualifax.ie/course/2449,1,0,,,2025-01-25T15:00:00,18,"animal, assistant, care, health, veterinary"
,Animal Care - Year 1,,8,,Health,https://www.qualifax.ie/course/10375,1,0,,,2025-01-25T15:00:00,18,"animal, care, health, year"
,Animal Care & Equine Studies,,8,,Health,https://www.qualifax.ie/course/95195,1,0,,,2025-01-25T15:00:00,18,"animal, care, equine, health, studies"
,Animal Care & Grooming,,8,,Health,https://www.qualifax.ie/course/222601,1,0,,,2025-01-25T15:00:00,18,"animal, care, grooming, health"
,Animal Care Assistant,,8,,Health,https://www.qualifax.ie/course/33656,1,0,,,2025-01-25T15:00:00,18,"animal, assistant, care, health"
,Animal Care Enterprise,,8,,Health,https://www.qualifax.ie/course/33283,1,0,,,2025-01-25T15:00:00,19,"animal, care, enterprise, health"
